	lambda	sigma	e_probability
0	0.5	1	0.04
1	0.5	2	0.08
2	0.5	3	0.24
3	0.5	4	0.39
4	0.5	5	0.61
5	0.5	6	0.71
6	0.5	7	0.79
7	1.0	1	0.0
8	1.0	2	0.02
9	1.0	3	0.06
10	1.0	4	0.1
11	1.0	5	0.12
12	1.0	6	0.2
13	1.0	7	0.2
14	1.5	1	0.0
15	1.5	2	0.02
16	1.5	3	0.02
17	1.5	4	0.02
18	1.5	5	0.04
19	1.5	6	0.04
20	1.5	7	0.06
21	2.0	1	0.0
22	2.0	2	0.02
23	2.0	3	0.06
24	2.0	4	0.1
25	2.0	5	0.12
26	2.0	6	0.2
27	2.0	7	0.2
28	2.5	1	0.0
29	2.5	2	0.0
30	2.5	3	0.02
31	2.5	4	0.02
32	2.5	5	0.02
33	2.5	6	0.02
34	2.5	7	0.02
35	3.0	1	0.0
36	3.0	2	0.02
37	3.0	3	0.06
38	3.0	4	0.1
39	3.0	5	0.12
40	3.0	6	0.2
41	3.0	7	0.2
